Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Ganges Securitie,540647,GANGESSECU,Finance & Investments,173.01,4.47,-3.30,0.68,-2.62,0.19,-2.81,0.01,-2.82,-0.08,-2.74,0.00,-2.74,-73.83,-61.30,10.00,-2.74,173.07
Gangotri Textile,521176,GANGOTRI,Textiles - Cotton/Blended,1.38,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,,-0.01,4.50
Ganon Products,512443,,Trading,6.31,7.75,-0.40,0.38,-0.02,0.00,-0.02,0.02,-0.04,0.01,-0.04,0.00,-0.04,-5.16,-0.52,9.33,-0.04,5.89
Garbi Finvest,539492,,Finance & Investments,16.12,3.23,3.00,0.94,3.94,0.00,3.94,0.00,3.94,0.93,3.00,0.00,3.00,92.88,92.88,11.73,2.56,18.91
Garden Reach Sh.,542011,GRSE,Miscellaneous,2326.60,601.17,20.44,69.92,90.36,10.02,80.34,4.04,76.30,21.00,55.30,0.00,55.30,3.40,9.20,114.55,4.83,26651.67
Garg Furnace,530615,,Steel - Medium / Small,294.80,61.75,0.92,0.03,0.95,0.38,0.57,0.05,0.52,0.00,0.51,0.00,0.51,1.49,0.83,,1.27,135.86
Garment Mantra,539216,,Textiles - Products,6.08,69.37,1.46,0.09,1.55,0.33,1.22,1.03,0.19,0.07,0.11,0.00,0.11,2.10,0.16,10.04,0.01,61.03
Garnet Construct,526727,,Construction,26.01,-0.61,-0.78,2.04,1.26,0.08,1.18,0.08,1.10,0.20,0.90,0.00,0.90,,,13.90,0.65,36.15
Garnet Intl.,512493,,Finance & Investments,110.45,10.20,2.13,0.00,2.13,0.22,1.91,0.85,1.06,0.56,0.38,0.00,0.51,20.88,5.00,19.64,0.19,216.87
Garodia Chemical,530161,,Trading,6.12,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,7.20,-0.03,4.41
Garware Hi Tech,500655,GRWRHITECH,Packaging,2514.55,349.01,53.23,17.13,70.36,9.56,60.80,4.65,56.15,13.08,43.07,0.00,43.07,15.25,12.34,23.23,18.54,5841.90
Garware Marine,509563,,Miscellaneous,31.58,0.19,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,-31.58,-31.58,5.77,-0.10,18.21
Garware Synth,514400,,Textiles - Products,29.93,2.89,0.24,0.00,0.24,0.11,0.13,0.09,0.04,0.07,-0.03,0.00,-0.03,8.30,-1.04,,-0.05,17.39
Garware Tech.,509557,GARFIBRES,Textiles - Products,3728.25,370.49,79.69,7.85,87.54,5.84,81.70,3.24,78.46,18.79,59.67,0.00,59.67,21.51,16.11,20.62,29.28,7401.76
Gateway Distri,543489,GATEWAY,Miscellaneous,108.64,367.65,88.15,14.02,102.17,24.17,78.00,10.82,67.18,1.04,66.13,0.00,66.13,23.98,17.99,499.64,1.32,5428.13
Gautam Exim,540613,,Trading,68.75,140.41,0.92,,,,,,,,,,0.19,,,,0.62,21.18
Gautam Gems,540936,,Trading,8.14,27.12,0.52,0.03,0.55,0.02,0.53,0.01,0.52,0.13,0.39,0.00,0.39,1.92,1.44,,0.08,33.25
Gayatri BioOrga.,524564,,Miscellaneous,5.67,0.00,-0.18,0.00,-0.18,0.00,-0.18,0.02,-0.20,0.00,-0.20,0.00,-0.20,,,,-0.03,44.67
Gayatri Highways,541546,GAYAHWS,Construction,1.32,0.18,-0.09,-84.43,0.49,0.02,0.47,5.20,-89.74,0.00,-4.73,-85.01,-89.74,-50.00,-2627.78,,-3.74,31.63
Gayatri Projects,532767,GAYAPROJ,Construction,8.97,802.37,-176.07,0.03,-176.04,19.84,-195.88,93.62,-289.50,-1.38,-288.13,0.00,-288.13,-21.94,-35.91,,-15.39,167.92
Gayatri Rubbers,,GRCL,Miscellaneous,385.00,10.91,0.87,,,,,,,,,,0.55,,,,0.96,220.91
Gayatri Sugars,532183,,Sugar,24.32,226.66,43.87,26.23,44.24,1.63,42.61,1.18,67.29,0.00,41.43,25.86,67.29,19.35,18.28,43.70,15.40,157.59
GCM Capital,538319,,Finance & Investments,6.76,2.98,-7.21,-0.05,-0.18,0.06,-0.24,0.02,-0.26,0.00,-0.26,0.00,-7.41,-10.40,-20.80,,-4.37,11.45
GCM Commodity,535917,,Finance & Investments,5.95,0.00,-0.07,,,,,,,,,,0.13,,,,0.18,4.42
GCM Securit.,535431,,Finance & Investments,0.91,0.00,-0.98,0.01,-0.97,0.01,-0.98,0.00,-0.98,0.01,-0.99,0.00,-0.99,,,19.00,-0.05,17.29
Gconnect Logitec,544156,,Miscellaneous,84.00,,,,,,,,,,,,,,,,,31.24
GE Power,532309,GEPIL,Engineering - Turnkey Services,491.35,344.48,-119.19,17.16,-102.03,5.72,-107.75,18.20,-125.95,3.75,-129.70,0.00,-129.70,-34.60,-37.65,67.23,-19.29,3303.35
GE Shipping Co,500620,GESHIP,Shipping,1333.35,1283.69,791.74,51.03,842.29,179.72,662.57,62.19,600.86,24.59,575.81,0.48,576.27,61.68,44.86,,40.36,19035.86
GE T&D India,522275,GET&D,Electric Equipment,1747.50,717.57,50.82,11.96,62.78,12.84,49.94,11.31,38.63,10.39,28.24,0.00,28.24,7.08,3.94,,1.10,44744.74
GEE,504028,,Electrodes - Welding Equipment,121.00,99.55,1.10,0.33,1.43,1.07,0.36,3.60,-3.24,-0.87,-2.38,0.00,-2.38,1.10,-2.39,5.20,-0.92,314.46
GeeCee Vent.,532764,GEECEE,Construction,379.65,4.33,-14.88,1.17,-13.71,0.42,-14.13,0.01,-14.14,-3.06,-11.08,0.00,-11.08,-343.65,-255.89,20.91,-5.32,793.91
Geekay Wires,,GEEKAYWIRE,Steel - Medium / Small,99.20,97.80,10.82,3.50,14.32,1.24,13.08,1.27,11.81,3.49,8.32,0.00,8.32,11.06,8.51,,1.59,518.42
Geetanjali Cred.,539486,,Finance & Investments,4.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,4.42,-0.02,1.77
Gem Enviro,544199,,Miscellaneous,232.85,,,,,,,,,,,,,,,,,525.09
Gem Spinners,521133,,Textiles - Cotton/Blended,3.40,0.00,-0.10,0.00,-0.10,0.04,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,,,,-0.02,20.87
Gemstone Invest.,531137,,Finance & Investments,2.04,0.35,-0.34,0.00,-0.34,0.00,-0.34,0.00,-0.34,0.04,-0.38,0.00,-0.38,-97.14,-108.57,7.48,-0.05,15.25
General Insuranc,540755,GICRE,Finance & Investments,409.85,10655.87,3233.22,-208.22,3025.00,0.00,3025.00,0.00,3025.00,415.72,2729.18,0.00,2729.18,30.34,25.61,,15.56,71904.08
Generic Engineer,539407,GENCON,Construction,53.36,86.81,15.69,0.61,16.30,2.72,13.58,5.73,7.85,1.95,5.90,0.00,5.90,18.07,6.80,21.07,1.11,283.00
Genesis IBRC,514336,,Miscellaneous,15.10,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,13.00,-0.04,19.63
Genesys Intl.,506109,GENESYS,Computers - Software - Medium / Small,721.20,46.62,16.32,1.41,17.73,10.86,6.87,1.22,5.65,3.64,2.00,0.00,2.00,35.01,4.29,15.68,0.57,2855.85
Gennex Lab.,531739,,Pharmaceuticals - Indian - Bulk Drugs,14.24,20.80,3.52,0.00,3.52,0.37,3.15,0.63,2.52,0.48,2.04,0.00,2.04,16.92,9.81,12.65,0.12,323.89
Genomic Valley,539206,,Miscellaneous,54.43,0.06,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,50.00,50.00,,0.10,16.63
Genpharmasec,531592,,Trading,2.25,6.22,0.21,0.06,0.27,0.01,0.26,0.06,0.20,-0.84,1.05,0.00,1.05,3.38,16.88,,0.02,124.59
Gensol Engineer.,542851,GENSOL,Engineering - Turnkey Services,1002.90,163.93,29.22,2.62,31.84,9.65,22.19,11.59,10.60,3.22,7.31,0.00,7.38,17.82,4.50,10.94,1.99,3798.27
Genus Paper & Bo,538961,GENUSPAPER,Paper,22.79,223.35,12.92,2.20,15.12,7.36,7.76,8.00,-0.24,-0.07,-0.17,0.00,-0.17,5.78,-0.08,40.71,-0.01,585.99
Genus Power,530343,GENUSPOWER,Electronics - Components,380.25,261.11,28.57,15.33,43.90,4.72,39.18,12.08,27.10,7.85,19.25,0.00,19.25,10.94,7.37,,0.75,11550.27
Genus Prime,532425,,Construction,30.08,0.05,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,20.00,20.00,3.99,0.01,44.90
Geojit Fin. Ser.,532285,GEOJITFSL,Finance & Investments,110.80,109.85,32.30,6.13,38.43,7.22,31.21,2.07,29.14,8.26,21.03,0.00,22.08,29.40,20.10,,0.88,2649.72
Getalong Enterp.,543372,,Miscellaneous,191.00,0.33,0.15,,,,,,,,,,-1.62,,,,-8.86,38.20
GFL,500173,GFLLIMITED,Finance & Investments,77.64,0.80,-55.07,2450.35,-54.99,0.00,-54.99,0.00,2395.28,137.07,-54.99,2450.27,2258.21,-6883.75,-6873.75,10.99,205.48,852.88
GHCL,500171,GHCL,Chemicals,628.45,1018.62,299.46,229.91,310.09,24.43,285.66,7.67,497.27,70.94,238.33,219.28,426.33,29.40,23.40,,44.60,6017.71
GHCL Textiles,543918,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended,104.62,263.28,16.30,1.47,17.77,10.53,7.24,1.60,5.64,1.48,4.16,0.00,4.16,6.19,1.58,,0.44,1000.02
Gian Lifecare,542918,,Healthcare,24.28,1.55,-0.72,0.18,-0.54,0.12,-0.66,0.11,-0.77,0.14,-0.90,0.00,-0.90,-46.45,-58.06,10.34,-0.87,25.11
GIC Housing Fin,511676,GICHSGFIN,Finance - Housing,251.20,281.17,252.96,6.22,259.18,3.47,255.71,178.19,77.52,25.23,52.29,0.00,52.29,89.97,18.60,53.88,9.71,1352.71
Gilada Finance,538788,,Finance & Investments,10.49,0.85,-0.62,1.48,0.86,0.00,0.86,0.16,0.70,0.19,0.50,0.00,0.50,-72.94,58.82,3.51,0.36,14.74
Gillanders Arbut,532716,GILLANDERS,Diversified - Medium / Small,87.48,87.68,-2.62,4.59,1.97,3.03,-1.06,3.98,-5.04,0.22,-5.26,0.00,-5.26,-2.99,-6.00,,-2.46,186.68
Gillette India,507815,GILLETTE,Personal Care - Multinational,7981.90,619.07,133.71,11.77,145.48,21.84,123.64,0.77,122.87,20.17,102.70,0.00,102.70,21.60,16.59,,31.52,26013.01
Gini Silk Mills,531744,,Textiles - Processing,124.50,12.34,1.29,0.40,1.69,0.35,1.34,0.18,1.16,0.08,1.08,0.00,1.08,10.45,8.75,5.59,1.93,69.60
Ginni Filaments,590025,GINNIFILA,Textiles - Cotton/Blended,30.78,82.78,6.19,-7.74,6.54,3.63,2.91,3.10,-8.28,0.55,-0.74,-8.09,-8.83,7.48,-0.89,,-1.03,263.63
Giriraj Civil,,GIRIRAJ,Construction,379.00,62.01,4.30,,,,,,,,,,2.88,,,,1.43,906.59
Gita Renewable,539013,,Power Generation And Supply,176.60,0.07,-0.24,0.00,-0.24,0.00,-0.24,-0.13,-0.11,0.00,-0.11,0.00,-0.11,-342.86,-157.14,4.11,-0.27,72.62
GKB Ophthalmics,533212,,Personal Care - Indian,114.65,19.96,-0.39,0.23,-0.16,1.63,-1.79,0.43,-2.22,-0.11,-1.92,0.00,-2.08,-1.95,-10.42,5.04,-3.81,57.79
GKW,,GKWLIMITED,Finance & Investments,3375.15,2.76,0.77,0.23,1.00,0.25,0.75,0.00,0.75,0.55,0.20,0.00,0.20,27.90,7.25,5.97,0.33,2014.96
Glance Finance,531199,,Finance & Investments,111.50,2.68,2.51,0.00,2.51,1.37,1.14,0.34,0.80,0.31,0.49,0.00,0.49,93.66,18.28,,2.17,25.15
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Formulations,2126.65,785.01,168.41,-17.52,207.35,37.54,169.81,2.20,111.15,32.47,113.32,-56.46,78.68,21.45,14.44,16.43,4.78,35036.93
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,2820.25,761.66,143.88,53.74,180.32,16.36,163.96,0.28,180.98,48.73,120.04,17.30,132.25,18.89,15.76,,7.81,47776.74
Gleam Fabmat,542477,,Trading,5.41,0.00,-0.04,,,,,,,,,,-0.04,,,,-0.04,5.42
Glenmark Life,543322,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,884.00,578.45,193.17,1.85,195.02,12.61,182.41,0.40,182.01,46.56,135.45,0.00,135.45,33.39,23.42,,11.05,10831.40
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,1443.05,3000.52,397.92,-695.81,355.49,135.02,220.47,109.14,-542.05,-138.91,130.42,-653.38,-403.13,13.26,4.35,28.22,-15.18,40721.16
Glittek Granites,513528,,Miscellaneous,4.88,5.91,1.27,0.03,1.30,0.20,1.10,0.43,0.67,0.11,0.56,0.00,0.56,21.49,9.48,13.29,0.22,12.67
Global Cap.Mkt.,530263,,Finance & Investments,0.92,-2.05,-1.19,-0.11,-1.30,0.02,-1.32,0.01,-1.33,0.03,-1.36,0.00,-1.36,,,24.89,-0.02,36.64
Global Education,,GLOBAL,Miscellaneous,187.54,21.99,14.94,0.55,15.49,2.26,13.23,0.00,13.23,3.28,9.94,0.00,9.94,67.94,45.20,,4.88,381.84
Global Health,543654,MEDANTA,Healthcare,1210.05,707.06,166.74,24.77,191.51,37.95,153.56,20.48,133.08,32.01,101.07,0.00,101.07,23.58,14.29,50.65,3.77,32495.58
Global Longlife,543520,,Healthcare,31.05,11.70,2.26,,,,,,,,,,1.07,,,,1.02,32.60
Global Offshore,501848,,Shipping,92.77,11.91,-3.11,616.30,-2.97,5.10,-8.07,-4.26,612.35,1.29,-3.38,616.16,611.06,-26.11,-31.99,24.73,218.98,229.42
Global Pet Indus,,GLOBALPET,Engineering,94.00,18.06,0.79,,,,,,,,,,1.01,,,,1.43,92.00
Global Surfaces,543829,GSLSU,Miscellaneous,204.47,39.60,7.91,1.17,9.08,2.34,6.74,0.83,5.91,0.16,5.75,0.00,5.75,19.97,14.52,33.86,1.36,866.58
Global Vectra,532773,GLOBALVECT,Transport - Airlines,292.10,110.64,5.41,33.73,39.14,17.69,21.45,5.11,16.34,6.39,9.95,0.00,9.95,4.89,8.99,14.00,7.11,408.94
Globalspace Tech,540654,,Computers - Software - Medium / Small,22.97,4.79,1.64,0.00,1.64,1.00,0.64,0.57,0.07,-0.02,0.09,0.00,0.09,34.24,1.88,11.46,0.03,78.95
Globe Commercial,540266,,Trading,22.10,32.30,0.80,0.00,0.80,0.00,0.80,0.00,0.80,-0.06,0.86,0.00,0.86,2.48,2.66,3.00,1.43,13.26
Globe Intl. Car.,538385,GICL,Miscellaneous,74.80,63.07,3.02,,,,,,,,,,1.41,,,,0.57,186.40
Globe Textiles,,GLOBE,Textiles - Products,5.73,110.04,2.94,1.35,4.29,0.72,3.57,2.74,0.83,0.07,0.76,0.00,0.76,2.67,0.69,30.23,0.03,172.06
Globesecure Tech,,GSTL,Computers - Software - Medium / Small,61.90,20.29,2.46,,,,,,,,,,1.26,,,,0.79,98.67
Globus Power,526025,,Miscellaneous,25.79,0.00,-0.14,-11.96,-0.14,0.00,-0.14,0.00,-12.10,0.00,-0.14,-11.96,-12.10,,,98.95,-1.22,255.19
Globus Spirits,533104,GLOBUSSPR,Breweries & Distilleries,980.10,,,,,,,,,,,,,,,,,2829.46
Gloster Ltd,542351,GLOSTERLTD,Textiles - Jute - Yarn / Products,814.80,178.30,15.84,3.46,19.30,9.14,10.16,0.68,9.48,1.12,8.36,0.00,8.36,8.88,4.69,5.47,7.64,891.66
GMM Pfaudler,505255,GMMPFAUDLR,Engineering,1451.10,865.95,94.37,14.63,90.11,36.19,53.92,21.42,51.39,18.05,21.08,18.89,33.34,10.90,2.43,2.92,7.86,6523.74
GMR Airports Inf,532754,GMRINFRA,Engineering - Turnkey Services,98.00,1889.72,254.46,117.55,407.99,300.53,107.46,672.14,-600.66,36.08,-418.10,-35.98,-636.74,13.47,-31.91,603.59,-0.73,70053.95
GMR Urban,543490,GMRP&UI,Engineering - Turnkey Services,93.99,1423.37,-78.37,-45.64,87.18,21.04,66.14,326.40,-471.45,-0.54,-259.72,-211.19,-470.91,-5.51,-18.25,301.80,-7.84,6718.75
GNA Axles,540124,GNA,Auto Ancillaries,421.60,374.02,59.26,0.89,60.15,12.21,47.94,2.89,45.05,11.89,33.16,0.00,33.16,15.84,8.87,,7.73,1809.96
Go Digit General,544179,GODIGIT,Finance & Investments,340.15,1700.98,58.44,0.02,58.46,0.00,58.46,0.00,58.46,0.00,58.46,0.00,58.46,3.44,3.44,,0.67,31198.64
Go Fashion (I),543401,GOCOLORS,Textiles - Products,1127.35,190.10,64.22,3.71,67.93,24.90,43.03,8.21,34.82,8.53,26.28,0.00,26.28,33.78,13.82,,4.87,6088.70
Goa Carbon,509567,GOACARBON,Petrochemicals,821.95,316.03,15.52,6.11,21.63,0.55,21.08,14.05,7.03,1.74,5.29,0.00,5.29,4.91,1.67,9.15,5.78,752.08
Goblin India,542850,,Trading,43.50,18.50,1.40,,,,,,,,,,1.71,,,,1.32,60.11
GOCL Corpn.,506480,GOCLCORP,Chemicals,434.05,241.79,-2.98,60.72,57.13,2.68,54.45,38.53,16.53,2.77,13.46,0.61,13.76,-1.23,5.57,9.91,2.78,2151.69
Godavari Drugs,530317,,Pharmaceuticals - Indian - Bulk Drugs,100.85,37.37,2.68,0.39,2.84,0.50,2.34,1.03,1.54,0.21,1.13,0.23,1.33,7.17,3.02,7.53,1.77,75.94
Godawari Power,532734,GPIL,Steel - Large,1117.35,1316.59,275.90,13.96,304.59,32.24,272.35,14.33,243.29,73.75,179.80,-14.73,169.54,20.96,13.66,65.82,12.03,15189.81
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes,4183.15,796.14,152.06,44.04,196.10,37.42,158.68,9.25,149.43,38.89,147.09,0.00,147.09,19.10,18.48,10.40,28.29,21749.84
Godha Cabcon,,GODHA,Cables - Power,0.93,3.66,-8.24,0.23,-8.01,0.40,-8.41,0.01,-8.42,0.58,-9.00,0.00,-9.00,-225.14,-245.90,,-0.14,61.96
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,826.20,2510.19,192.90,31.77,224.67,52.79,171.88,29.46,142.42,35.34,105.32,0.00,107.08,7.68,4.27,,5.48,15884.58
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,1459.15,3200.16,640.87,35.74,698.78,68.59,630.19,52.51,555.51,103.37,469.99,-22.17,452.14,20.03,14.69,102.26,4.42,149244.83
Godrej Industrie,500164,GODREJIND,Chemicals,925.80,4852.11,599.88,441.73,1041.61,79.38,962.23,283.51,678.72,116.56,300.08,0.00,562.16,12.36,11.59,33.66,8.91,31170.83
Godrej Propert.,533150,GODREJPROP,Construction,3001.55,936.09,-149.20,378.72,229.52,6.93,222.59,29.67,192.92,59.23,124.94,0.00,133.69,-15.94,14.28,,4.49,83460.19
Goel Food,543538,,Hotels,54.25,14.18,5.41,,,,,,,,,,2.57,,,,1.36,102.27
Goenka Business,538787,,Finance & Investments,8.41,30.40,0.16,0.00,0.16,0.01,0.15,2.29,-2.14,-0.57,-1.57,0.00,-1.57,0.53,-5.16,13.00,-1.21,10.93
Goenka Diamond,533189,GOENKA,Diamond Cutting / Jewellery,1.13,0.22,-0.51,-0.02,-0.53,0.16,-0.69,0.14,-0.83,0.01,-0.84,0.00,-0.84,-231.82,-381.82,31.70,-0.03,35.82
Gogia Capital,531600,,Finance & Investments,85.80,1.99,2.24,1.73,3.97,0.05,3.92,0.68,3.24,-0.17,3.40,0.00,3.40,112.56,170.85,7.28,5.38,54.24
Gokak Textiles,532957,,Textiles - Cotton/Blended,167.25,30.34,4.36,0.96,5.32,5.27,0.05,2.88,-2.83,0.00,-2.83,0.00,-2.83,14.37,-9.33,6.50,-6.12,108.71
Gokaldas Exports,532630,GOKEX,Textiles - Products,951.75,523.01,70.08,7.11,77.19,19.00,58.19,7.43,50.76,3.57,47.19,0.00,47.19,13.40,9.02,29.49,7.79,6796.27
Gokul Agro,539725,GOKULAGRO,Solvent Extraction,196.01,2464.40,54.27,7.21,61.48,7.49,53.99,22.53,31.46,7.41,24.05,0.00,24.05,2.20,0.98,,1.63,2892.00
Gokul Refoils,532980,GOKUL,Solvent Extraction,42.17,588.02,11.26,2.99,14.25,2.42,11.83,8.44,3.39,0.86,2.53,0.00,2.53,1.91,0.43,,0.26,417.46
Goldcoin Health,538542,,Trading,6.86,0.01,-0.02,-0.11,-0.01,0.01,-0.02,0.00,-0.14,0.00,-0.01,-0.12,-0.13,-200.00,-100.00,3.00,-0.43,2.06
Golden Carpets,531928,,Textiles - Products,13.00,0.15,-0.07,0.00,-0.07,0.03,-0.10,0.00,-0.10,0.00,-0.10,0.00,-0.10,-46.67,-66.67,8.44,-0.15,8.44
Golden Tobacco,500151,GOLDENTOBC,Construction,41.38,4.65,0.53,0.08,0.61,0.12,0.49,1.03,-0.54,0.00,-0.54,0.00,-0.54,11.40,-11.61,,-0.31,72.87
Goldiam Intl.,526729,GOLDIAM,Diamond Cutting / Jewellery,185.33,134.95,22.60,-0.05,22.55,2.02,20.53,-0.07,20.60,4.38,16.11,0.00,16.22,16.75,12.02,21.79,1.48,1979.23
Goldkart Jewels,,GOLDKART,Trading,160.80,31.29,1.27,,,,,,,,,,0.24,,,,0.14,269.91
Goldline Intl.,538180,,Finance & Investments,0.70,0.18,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-5.56,-5.56,52.10,0.00,36.47
Goldstar Power,,GOLDSTAR,Auto Ancillaries,11.20,15.37,2.67,,,,,,,,,,1.89,,,,0.08,269.59
Golech.Glob.Fin.,531360,,Finance & Investments,33.81,1.68,-3.75,0.01,-3.74,0.00,-3.74,0.01,-3.75,-0.91,-2.83,0.00,-2.83,-223.21,-168.45,5.50,-5.15,18.60
Golkonda Alumin.,513309,,Trading,14.54,0.00,-0.12,0.72,0.60,0.00,0.60,0.00,0.60,0.00,0.60,0.00,0.60,,,,1.14,7.66
Golkunda Diamond,523676,,Diamond Cutting / Jewellery,202.80,54.90,1.41,0.15,1.56,0.23,1.33,0.74,0.59,0.15,0.44,0.00,0.44,2.57,0.80,,0.63,141.15
Goodluck India,530655,GOODLUCK,Steel - Medium / Small,902.60,858.02,69.82,1.04,70.86,8.82,62.04,21.91,40.13,11.54,28.59,0.00,28.59,8.14,3.33,,10.49,2954.98
Goodricke Group,500166,,Tea,189.05,100.28,-57.73,5.38,-52.35,4.78,-57.13,0.66,-57.79,-12.48,-45.31,0.00,-45.31,-57.57,-45.18,21.60,-20.98,408.35
Goodyear India,500168,,Tyres,1219.00,652.59,57.03,3.56,60.59,13.81,46.78,1.12,45.66,12.05,33.61,0.00,33.61,8.74,5.15,23.07,14.57,2812.23
Gopal Iron Stl.,531913,,Trading,7.87,0.70,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.43,0.00,4.92,0.00,3.87
Gopal Snacks,544140,GOPAL,Food - Processing - Indian,354.80,318.50,48.74,0.46,49.20,8.42,40.78,2.02,38.76,10.41,28.36,0.00,28.36,15.30,8.90,,2.28,4420.96
Gorani Industrie,531608,,Domestic Appliances,104.70,7.94,-0.92,0.42,-0.50,0.10,-0.60,0.24,-0.84,-0.22,-0.62,0.00,-0.62,-11.59,-7.81,4.88,-1.16,56.15
Gothi Plascon,531111,,Construction,37.50,1.05,0.48,0.00,0.48,0.09,0.39,0.03,0.36,0.56,-0.20,0.00,-0.20,45.71,-19.05,10.20,-0.20,38.25
Gourmet Gateway,506134,,Hotels,34.29,36.46,8.29,3.77,11.22,4.65,6.57,3.24,4.17,0.98,2.55,0.84,3.19,22.74,7.24,,0.24,460.41
Gowra Leasing,530709,,Finance & Investments,40.42,0.47,0.29,0.14,0.43,0.00,0.43,0.00,0.43,0.23,0.21,0.00,0.21,61.70,44.68,3.00,0.70,12.13
Goyal Aluminiums,541152,GOYALALUM,Trading,9.32,9.46,0.43,0.11,0.54,0.05,0.49,0.08,0.41,0.11,0.30,0.00,0.30,4.55,3.17,,0.02,133.03
Goyal Associates,530663,,Finance & Investments,1.94,1.26,0.01,0.00,0.01,0.04,-0.03,0.02,-0.05,0.00,-0.05,0.00,-0.05,0.79,-3.97,4.69,-0.01,9.11
Goyal Salt,,GOYALSALT,Food - Processing - Indian,187.15,53.14,2.67,,,,,,,,,,1.15,,,,1.06,335.00
GP Eco,,GPECO,Electric Equipment,305.65,,,,,,,,,,,,,,,,,357.94
GP Petroleums,532543,GULFPETRO,Chemicals,75.23,181.91,6.50,0.09,6.59,1.12,5.47,0.19,5.28,1.32,3.96,0.00,3.96,3.57,2.18,25.49,0.78,383.52
GPT Healthcare,544131,GPTHEALTH,Healthcare,191.47,96.08,23.58,2.33,25.91,4.04,21.87,2.52,19.35,8.99,10.36,0.00,10.36,24.54,10.78,,1.30,1571.10
GPT Infraproject,533761,GPTINFRA,Construction,168.30,235.90,25.72,3.80,29.52,3.71,25.81,8.69,17.12,4.66,12.18,0.00,12.18,10.90,5.16,,1.14,1958.07
Grand Foundry,513343,GFSTEELS,Steel - Medium / Small,9.03,0.10,-0.67,0.00,-0.67,0.00,-0.67,0.17,-0.84,0.00,-0.84,0.00,-0.84,-670.00,-840.00,,-0.28,27.48
Grandma Trading,504369,,Trading,2.05,0.00,-0.02,1.76,0.00,0.00,0.00,0.00,1.74,0.00,-0.01,1.74,1.73,,,13.06,0.13,26.77
Granules India,532482,GRANULES,Pharmaceuticals - Indian - Bulk Drugs & Formln,646.10,985.51,136.82,0.35,137.17,49.24,87.93,22.46,65.47,17.58,47.90,0.00,47.90,13.88,4.86,,1.98,15659.44
Graphisads,,GRAPHISAD,Miscellaneous,51.50,57.54,6.54,,,,,,,,,,3.04,,,,2.26,94.12
Graphite India,509488,GRAPHITE,Electrodes - Graphites,512.60,815.00,62.00,5.00,67.00,15.00,52.00,4.00,48.00,19.00,29.00,0.00,29.00,7.61,3.56,39.00,1.48,10014.95
Grasim Inds,500300,GRASIM,Textiles - Manmade,2706.80,33462.14,6130.63,307.59,6438.22,1207.34,5230.88,1815.85,3415.03,1059.36,1368.92,0.00,2355.67,18.32,7.04,131.67,20.12,178237.16
Gratex Industrie,526751,,Paper,21.20,1.02,0.09,0.00,0.09,0.03,0.06,0.00,0.06,-0.01,0.06,0.00,0.06,8.82,5.88,3.03,0.20,6.42
Grauer & Weil,505710,,Chemicals,94.08,327.18,30.00,4.49,35.21,4.67,30.54,0.75,29.07,7.37,22.23,-0.72,21.70,9.17,6.79,22.67,0.48,4265.70
Graviss Hospital,509546,,Hotels,48.86,18.20,4.03,0.75,4.78,0.77,4.01,0.03,3.98,0.63,3.35,0.00,3.35,22.14,18.41,14.10,0.48,344.56
Gravita India,533282,GRAVITA,Mining / Minerals / Metals,1664.10,703.39,58.43,23.35,81.78,7.92,73.86,12.70,61.16,8.61,52.08,0.00,52.55,8.31,7.47,,7.54,11488.60
