Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Bharat Road,540700,BRNL,Construction,47.05,364.50,260.38,-207.55,-214.36,-57.41,119.71,254.66,251.00,259.44,44.05,-213.02,90.47,29.24,201.36,505.06,652.71,627.69,-32.16,645.89,934.92,1373.98,1297.85,-1862.68,-1352.51,43.36,32.79,56.91,29.19,19.23,395.01
Bharat Seats,523229,,Auto Ancillaries,157.15,56.74,-16.10,-72.63,15.72,-0.17,0.37,0.37,-16.54,42.54,-59.07,16.82,0.29,0.08,1.21,-32.33,-32.26,23.63,96.13,114.90,161.31,264.51,373.00,-274.87,-238.88,-192.49,-146.36,1.15,10.03,1.16,493.47
Bharat Textiles,531029,,Textiles - Products,11.80,1.91,1.89,-0.01,-1.94,-0.04,0.09,0.05,1.60,1.78,-0.17,-1.56,0.06,0.03,0.09,4.01,3.46,4.23,2.20,4.65,5.71,6.56,11.86,-9.60,-2.28,-2.22,-0.62,0.07,0.01,0.10,6.91
Bharat Wire,539799,BHARATWIRE,Steel - Medium / Small,257.00,85.22,60.22,-25.00,-60.64,-0.41,8.73,8.32,69.76,83.23,-13.47,-64.24,5.52,3.21,8.73,153.22,58.33,60.20,-305.86,192.10,98.81,213.44,260.25,-609.62,-153.24,-40.48,-38.88,5.35,4.44,2.42,1756.91
Bharatiya Glob.,533499,BGLOBAL,Computers - Software - Medium / Small,3.15,-0.35,-0.35,0.00,0.00,-0.35,0.86,0.51,0.54,0.54,0.00,-0.41,0.13,0.73,0.86,0.16,1.35,-0.57,-0.09,0.16,6.56,6.08,11.42,-13.21,-6.55,-5.18,0.00,0.75,0.74,0.52,4.99
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1457.95,78898.20,38969.50,-50203.90,-27778.50,915.80,9021.40,16339.90,38874.60,65324.60,-39232.40,-24469.50,1622.70,7398.70,13418.60,106839.90,125474.60,121100.30,134525.30,199239.40,265573.10,315497.10,399778.30,-311095.70,-244023.20,-187798.10,-130914.00,13466.10,8064.00,5098.30,871006.32
Bharti Hexacom,544162,BHARTIHEXA,Telecommunications - Service Provider,1091.95,3546.10,1498.40,-1155.10,-2403.60,-12.60,52.40,74.30,4169.30,5108.40,-2030.90,-3111.40,-33.90,86.30,88.70,5591.90,4879.00,,,9912.50,11113.80,,,,,-6526.60,-4568.50,59.20,30.90,,54597.50
Bhartiya Intl.,526666,BIL,Leather / Leather Products,464.30,65.79,58.55,-21.20,-26.28,18.31,8.74,71.53,-9.65,11.67,-21.72,-14.47,-24.52,33.26,32.59,67.06,58.59,-34.39,-119.66,123.38,142.65,94.40,58.99,-194.47,-152.79,-123.71,-88.50,39.21,45.37,54.34,566.88
Bhaskar Agrochem,524534,,Pesticides / Agrochemicals - Indian,104.85,3.92,2.13,-1.78,-2.08,0.07,0.02,0.09,0.07,2.94,-2.86,-0.07,0.00,0.02,0.02,-2.24,2.28,-0.31,-3.65,3.02,8.93,12.00,15.78,-19.58,-12.29,-6.63,-5.24,0.01,0.01,0.03,54.62
Bhatia Colour,543497,,Chemicals,47.00,17.55,16.50,-1.04,-1.65,14.86,0.29,0.29,14.09,14.06,-0.20,-47.53,-33.67,33.96,0.29,-54.88,,,,-53.86,,,,,,,-1.67,,,,57.50
Bhatia Communic.,540956,,Trading,20.60,19.06,15.75,-15.06,0.60,4.61,10.92,15.52,6.45,8.23,-0.41,1.27,9.09,1.83,10.92,19.52,27.87,29.17,,26.58,36.37,41.92,,,-48.99,-39.02,-17.39,1.62,16.25,1.58,257.80
Bheema Cements,518017,,Cement - South India,26.75,-0.12,-0.12,0.04,0.05,-0.03,1.05,1.02,-0.26,0.53,-0.77,0.00,-0.24,1.29,1.05,-10.46,-28.80,-38.78,-32.67,-9.66,-28.00,-37.91,-32.59,1.06,-0.50,-0.43,-0.43,11.06,0.36,0.25,87.23
Bhilwara Spinner,514272,,Textiles - Cotton/Blended,121.25,-10.08,-68.40,-58.16,65.40,-2.85,2.88,0.03,1.99,9.23,-6.58,0.01,2.66,0.23,2.88,-67.18,-69.40,-72.21,-73.09,-2.72,-2.63,-11.97,-20.18,-45.53,-54.74,-62.82,-62.83,0.19,0.07,1.17,109.76
Bhilwara Tech,533108,,Textiles - Products,52.44,-0.47,-0.47,0.26,-0.01,-0.22,0.53,0.45,3.85,3.85,-3.28,-0.09,0.47,0.05,0.80,2.85,2.92,1.90,2.07,2.86,2.93,1.91,2.08,-1.78,-1.59,-2.60,-2.55,1.08,7.51,10.15,306.14
Bhudevi Infra,526488,,Construction,38.19,2.63,2.60,-0.49,-2.07,0.08,0.01,0.61,2.10,2.10,-2.10,0.00,0.00,0.00,0.01,4.53,4.50,4.53,4.53,4.56,4.53,4.56,4.56,-2.42,-2.42,-2.42,-2.42,0.00,0.03,0.00,17.53
BIGBLOC Const.,540061,BIGBLOC,Cement Products,225.95,19.93,-53.97,-66.67,47.14,0.40,0.43,0.85,-35.54,28.08,-73.03,45.11,0.16,0.28,1.72,-70.33,-77.35,,,72.37,81.76,,,,,-162.48,-144.70,0.30,0.57,,1599.45
Bihar Sponge,500058,,Steel - Sponge Iron,16.14,19.18,17.45,-1.62,-16.93,0.63,2.88,3.51,-17.33,-15.54,-1.78,16.72,-0.59,3.47,2.88,4.96,15.79,15.99,11.84,26.95,37.84,38.03,33.98,-19.96,-21.90,-21.91,-21.86,0.98,1.04,0.77,145.59
Bijoy Hans,524723,,Trading,23.00,-0.29,0.03,0.32,-0.02,0.01,1.62,1.63,-0.37,-0.26,-0.11,0.08,-0.29,1.91,1.62,-0.71,-0.80,-0.94,-1.55,-0.92,-1.00,-1.08,-1.50,-0.01,0.16,0.20,0.21,2.28,2.40,2.51,6.90
Bikaji Foods,543653,BIKAJI,Food - Processing - Indian,724.70,242.56,119.70,-206.81,-45.32,-9.57,16.29,175.46,99.36,172.53,-126.92,-1.91,43.69,-27.06,95.68,186.09,248.52,250.93,140.10,474.92,647.22,789.45,914.41,-1104.37,-867.04,-736.93,-553.84,86.60,103.33,66.62,18145.16
Bilcare,526853,,Packaging,58.68,62.47,-34.36,-105.83,35.89,-7.47,24.47,36.42,10.91,-6.99,36.20,-18.90,10.31,14.16,30.83,13.15,1651.11,1627.19,1705.63,96.75,424.70,728.79,890.89,690.63,930.78,1237.13,-73.89,56.64,91.29,124.00,138.16
Billwin Indust.,543209,,Textiles - Products,51.10,0.63,0.63,0.09,-0.70,0.01,0.03,0.03,-0.11,-0.11,-0.03,0.17,0.03,0.00,0.03,1.77,-3.99,,,1.77,-3.94,,,,,-0.41,0.00,0.00,0.00,,21.36
Bimetal Bearings,505681,,Bearings,642.15,8.96,1.53,-4.14,-6.07,-1.25,1.62,1.13,1.96,11.54,-6.72,-4.32,0.50,1.13,2.48,-0.25,-6.63,-1.10,-7.54,29.32,50.81,75.13,80.80,-45.47,-51.45,-32.60,-16.47,1.91,3.42,5.91,245.95
Binani Industrie,500059,BINANIIND,Miscellaneous,16.20,-6.33,-6.28,0.25,2.51,-3.57,4.25,0.48,-3.15,-0.77,-2.33,1.31,-1.79,5.98,4.25,-12.22,-266.86,142.51,459.49,-9.91,-110.59,505.96,1163.23,-537.54,-171.17,-124.92,-3.43,12.90,22.18,99.26,50.80
Binayaka Tex Pr,523054,,Textiles - Processing,2154.65,22.30,22.37,-19.30,-2.66,0.34,4.87,5.21,1.47,16.24,-13.19,-3.15,-0.10,4.96,4.86,23.87,10.80,22.17,31.48,48.92,56.40,72.97,95.42,-71.67,-62.60,-59.74,-41.85,5.74,4.53,8.33,152.98
Bindal Exports L,540148,,Textiles - Products,22.60,3.75,1.49,-2.20,-1.57,-0.02,0.06,0.06,2.01,2.17,-0.20,-2.01,-0.04,0.10,0.06,-2.11,6.65,7.64,11.85,0.31,9.29,10.44,14.76,-2.32,-2.15,-1.94,-1.84,0.83,0.09,0.11,10.40
Binny,514215,,Construction,138.00,41.12,6.39,-27.24,-7.61,6.26,2.09,11.21,314.73,315.92,-1.28,-315.38,-0.74,2.82,4.91,336.74,194.14,74.45,131.94,372.74,230.16,110.75,170.05,22.25,20.35,17.76,-28.61,7.35,3.82,0.77,308.02
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,349.60,2953.90,1045.60,-1004.50,-2332.70,-383.30,1299.90,2258.70,129.30,1852.50,-14260.10,13048.70,641.10,653.70,2400.10,428.80,-694.50,-1282.50,-2124.60,5983.00,8425.80,10242.50,11463.80,-25608.80,-23469.50,-22083.30,-16926.60,2015.40,1057.20,1044.30,41972.99
Biofil Chemicals,524396,BIOFILCHEM,Pharmaceuticals - Indian - Formulations,64.70,2.39,2.37,-0.02,-0.12,2.25,0.04,2.28,-0.12,-0.11,-0.01,0.02,-0.11,0.14,0.04,1.96,3.65,3.58,3.60,2.06,4.06,5.78,6.64,-3.04,-2.20,-0.41,-0.10,0.44,0.14,0.31,105.28
Biogen Pharma,531752,,Finance & Investments,1.12,1.97,1.97,-2.08,0.00,-0.11,0.13,0.02,1.70,1.70,-1.66,0.00,0.05,0.08,0.13,5.07,7.81,-5.75,-8.42,5.07,7.81,-5.75,-8.42,44.90,6.44,-7.16,-5.06,0.01,0.00,0.06,73.09
Birla Cable,500060,BIRLACABLE,Cables - Telephone,243.60,16.30,-16.59,-31.67,15.24,-0.13,0.29,3.28,-32.34,-7.19,-23.51,30.46,-0.24,0.53,4.09,-55.45,-47.09,-75.48,-49.58,11.62,42.41,52.42,118.07,-136.37,-100.88,-82.16,-60.55,5.55,4.11,3.56,730.80
Birla Corpn.,500335,BIRLACORPN,Cement - North India,1600.85,1619.45,1093.91,-700.05,-969.14,-49.74,206.54,159.21,179.12,805.46,-365.03,-318.31,122.12,84.39,218.29,1535.94,2416.78,3607.40,4233.57,3464.06,6133.70,8002.69,9210.46,-5387.05,-4383.47,-3605.66,-1840.17,177.25,138.96,312.47,12328.13
Birla Precision,522105,,Engineering,59.81,-10.45,-19.75,-9.00,17.64,-1.80,11.29,24.11,-0.28,26.72,-32.45,4.97,-0.76,12.06,25.92,-15.42,12.38,23.43,41.28,38.48,68.72,84.82,115.06,-88.75,-77.23,-70.10,-50.06,23.33,9.25,6.62,394.68
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,710.75,718.23,699.08,-626.92,-167.81,-76.50,466.88,424.94,504.38,560.92,251.57,-636.20,176.29,290.56,553.49,1422.40,2213.66,2344.05,2804.48,1559.84,2427.59,2763.43,3625.82,-1638.95,-1241.15,-1171.63,-684.84,527.36,377.16,390.18,19622.42
Bisil Plast,531671,,Plastics Products,3.50,0.01,0.01,0.00,0.00,0.01,0.09,0.11,-0.59,-0.31,-0.28,0.38,-0.21,0.31,0.09,-0.54,-0.63,-0.82,-0.64,-0.26,-0.35,-0.54,-0.73,0.01,-0.11,-0.28,-0.28,0.05,0.14,0.01,18.91
BITS,526709,,Computers - Education,3.52,1.02,0.14,-0.98,0.00,0.03,0.23,0.26,0.15,0.16,0.02,0.00,0.19,0.04,0.23,0.06,0.02,,,1.02,0.98,,,,,-0.76,-0.76,0.00,0.05,,39.38
Bizotic Commer.,543926,,Trading,51.00,-26.08,-29.70,-14.88,39.36,-1.60,1.84,1.84,-4.44,-3.09,-0.96,5.78,1.73,0.10,1.84,-34.28,-39.59,,,-28.93,-33.78,,,,,-12.71,-16.22,0.02,0.66,,41.00
BKM Industries,539043,BKMINDST,Packaging,1.54,-0.28,-0.24,0.14,0.00,-0.14,0.18,0.05,3.43,3.43,-3.44,0.00,-0.01,0.20,0.18,,,,,,,,,,,,,,2.82,1.40,10.09
BKV Industries,519500,,Aquaculture,13.61,0.15,0.15,0.02,0.00,0.17,0.22,0.39,0.22,0.23,0.00,-0.04,0.20,0.02,0.22,0.31,0.59,0.37,0.41,0.40,0.68,0.51,0.51,0.00,-0.04,0.01,-0.05,0.11,0.01,0.01,21.00
Black Box,500463,BBOX,Computers - Software - Medium / Small,393.00,134.30,138.99,-0.70,-154.99,-21.39,199.94,222.65,37.27,17.97,-56.31,-63.42,-101.76,301.70,209.53,220.88,1586.79,1263.19,1302.66,247.52,1687.92,1668.02,1729.42,-844.36,-896.83,-531.67,-164.79,410.29,262.89,19.52,6605.35
Black Rose Indus,514183,,Trading,134.55,14.00,11.07,-9.96,-2.27,1.77,8.83,18.65,16.86,22.47,-11.74,-10.61,0.11,8.72,20.12,36.56,56.79,78.33,88.99,51.15,78.87,101.72,114.80,-41.97,-40.26,-39.85,-27.41,7.84,6.24,3.13,686.23
BLB,532290,BLBLIMITED,Finance & Investments,18.39,5.45,10.73,5.51,-3.50,7.46,5.81,13.27,-8.20,-8.24,13.75,-0.25,5.26,0.54,5.81,-14.08,-3.68,90.59,89.71,-19.38,-10.08,71.33,77.16,42.61,24.05,34.29,34.02,5.06,1.78,0.71,97.21
Bliss GVS Pharma,506197,BLISSGVS,Pharmaceuticals - Indian - Formulations,102.45,152.45,124.72,-132.82,-20.89,-1.27,25.01,215.62,-58.80,34.31,-6.36,-24.94,3.02,21.99,102.99,128.47,172.04,167.41,459.91,322.24,432.91,490.50,930.53,-687.26,-358.37,-327.55,-242.08,144.55,106.63,150.50,1073.08
Bloom Dekor,526225,,Miscellaneous,11.87,-0.52,-0.26,0.30,0.19,-0.03,0.12,0.10,39.05,3.80,35.26,-39.13,-0.07,0.19,0.12,38.31,40.93,42.85,53.13,2.56,5.43,8.69,22.88,32.23,35.67,36.55,36.78,0.20,1.50,2.03,8.13
Bloom Industries,513422,,Trading,25.82,0.97,0.97,-3.05,2.18,0.10,0.01,0.11,0.73,0.73,-4.38,-0.89,-4.54,4.55,0.01,0.25,0.06,2.27,1.95,0.25,0.06,2.27,1.16,-8.24,-9.80,-7.24,-7.39,0.03,0.07,0.42,17.14
BLS E-Services,544107,BLSE,Computers - Software - Medium / Small,253.60,19.65,15.01,-295.16,290.14,14.63,15.71,252.01,28.02,28.87,-65.63,46.42,9.66,6.05,45.10,55.52,,,,68.26,,,,,,,-374.41,9.34,,,2304.13
BLS Infotech,531175,,Trading,3.16,-0.12,-0.12,0.14,0.00,0.03,0.00,0.03,-0.16,-0.16,0.15,0.00,0.00,0.01,0.00,-0.44,-0.82,-1.32,-2.37,-0.44,-0.82,-1.32,-2.43,2.06,1.17,0.79,0.45,0.00,0.03,0.09,138.32
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,369.40,349.85,286.08,-260.06,257.40,347.18,66.94,962.13,192.84,260.53,-237.75,7.23,30.02,36.92,475.93,582.24,738.68,934.36,938.81,795.71,956.58,1145.67,1242.33,-1024.69,-892.00,-799.12,-669.32,277.37,174.12,69.73,15209.69
Blu.Coast Hotel.,531495,BLUECOAST,Hotels,9.70,1.21,1.21,-0.89,-0.36,-0.04,0.30,1.12,0.38,0.38,-0.14,-0.50,-0.26,0.56,0.91,1.39,-19.47,262.69,193.67,1.40,-21.98,-442.48,-352.63,505.55,661.89,26.80,-1.06,1.21,0.69,10.23,12.37
Blue Chip India,531936,BLUECHIP,Finance & Investments,4.30,-0.01,-0.01,0.05,0.00,0.04,0.01,0.01,-0.56,-0.56,-0.25,0.80,-0.01,0.02,0.01,2.19,4.04,3.17,3.09,2.19,1.34,0.47,0.40,-1.30,-1.29,-2.13,-2.96,0.02,0.00,0.01,23.78
Blue Cloud Soft.,539607,,Computers - Software - Medium / Small,225.80,-0.19,-29.00,-47.48,54.57,6.90,0.00,6.90,,,,,,,,,,,,,,,,,,,,,,,4925.62
Blue Dart Expres,526612,BLUEDART,Couriers,8125.25,846.73,585.42,-374.64,-401.23,70.86,93.75,166.24,146.77,716.74,-514.09,-291.45,-88.80,182.55,95.52,1421.52,2177.90,2253.73,2656.53,2423.26,3537.55,4097.58,4837.02,-2413.52,-2068.81,-1598.98,-877.42,310.52,268.71,256.83,19281.19
Blue Jet Health,544009,BLUEJET,Pharmaceuticals - Indian - Bulk Drugs & Formln,409.95,241.26,67.63,-263.76,-1.99,-24.48,65.44,84.71,82.70,141.56,-147.25,-4.24,-9.94,75.37,65.63,275.29,466.61,,,529.24,788.42,,,,,-593.26,-487.04,70.46,,,7111.21
Blue Pearl,514440,,Trading,46.44,0.20,0.20,0.00,0.10,0.30,0.09,0.39,-0.05,-0.05,0.00,0.05,0.00,0.08,0.09,0.16,0.09,0.19,0.18,0.16,0.09,0.19,0.18,0.00,0.00,0.00,0.00,0.04,0.11,0.02,1.19
Blue Pebble,,BLUEPEBBLE,Miscellaneous,287.05,1.56,1.46,-1.08,-0.27,0.21,0.77,0.77,0.79,1.23,-0.84,-0.10,0.30,0.47,0.77,2.65,,,,3.24,,,,,,,-2.17,0.28,,,117.11
Blue Star,500067,BLUESTARCO,Air-conditioners,1651.25,289.22,-144.04,-524.62,364.83,129.43,227.47,377.37,65.26,247.38,-178.62,-91.08,-22.32,265.65,247.27,-209.32,526.39,632.69,1073.01,624.00,1423.76,1701.04,2331.23,-1270.73,-1242.95,-1089.76,-770.55,332.16,100.94,96.57,33952.14
Bluechip Tex Ind,506981,,Textiles - Processing,160.05,3.91,3.67,-0.07,-3.08,0.75,-2.89,0.46,1.91,1.91,0.11,-3.58,-1.56,-1.33,3.22,9.26,23.07,12.63,18.83,9.43,25.15,35.60,47.87,-29.07,-21.71,-1.21,0.22,6.40,3.20,0.94,31.54
BMW Industries,542669,,Steel - Medium / Small,60.31,268.24,144.73,-112.42,-157.20,-1.38,7.62,9.36,66.11,125.63,-57.08,-61.89,6.67,0.95,14.14,249.99,411.74,595.30,,457.96,709.44,910.36,,,-253.30,-260.71,-189.15,5.88,13.58,8.66,1357.46
BN Holdings,526125,,Trading,149.95,-3.08,-3.08,-72.08,75.39,0.22,0.02,0.24,-0.24,-0.24,0.00,0.26,0.02,0.00,0.02,-3.54,-3.74,-3.99,-4.44,-3.54,-3.74,-3.99,-4.44,-69.36,-69.36,-72.08,-72.08,0.01,0.02,0.01,148.43
BNR Udyog,530809,,Finance & Investments,71.97,-0.72,-1.16,1.51,0.00,0.79,2.02,3.01,-1.79,-1.53,3.14,0.00,1.62,0.40,2.25,-3.21,-2.94,-3.91,-3.78,-2.50,-2.81,-3.59,-2.38,4.87,6.32,5.68,4.48,0.83,0.07,1.09,21.59
Bodal Chemicals,524370,BODALCHEM,Dyes And Pigments,77.35,204.25,-28.97,-261.64,80.98,23.59,16.80,33.24,-33.92,284.91,-310.06,32.66,7.50,9.30,18.68,-232.74,-466.43,-650.07,-335.80,475.64,472.18,665.24,1097.83,-1498.01,-1372.86,-988.44,-741.99,16.29,9.80,16.71,972.95
Bodhi Tree,543767,BTML,Entertainment / Electronic Media Software,15.20,-1.93,-1.97,-0.05,-1.59,-3.57,4.39,0.82,-6.99,-6.92,-0.07,10.42,3.43,0.96,4.39,-12.74,-13.18,,,-12.54,-12.94,,,,,-0.25,-0.21,2.50,,,189.93
Bohra Industries,,BOHRAIND,Fertilizers,15.85,-0.07,-0.07,0.00,0.03,-0.04,0.05,0.00,-2.09,-2.07,-0.02,1.89,-0.20,0.25,0.05,15.55,5.70,-14.97,-6.35,14.35,3.85,-3.58,13.34,-25.22,-16.49,2.09,1.20,0.12,2.42,28.34,22.66
Bombay Burmah,501425,BBTC,Auto Ancillaries,2064.50,2038.01,1780.58,3785.90,-5646.99,176.92,539.77,874.53,1885.52,2473.66,-1323.83,-1161.43,-11.60,551.37,3658.09,4552.36,7145.47,8635.49,9895.88,5959.04,9060.49,11377.72,13230.35,-5766.26,-4306.40,-2567.69,-531.42,1527.76,191.88,222.42,14404.43
Bombay Cycle,501430,,Diversified - Medium / Small,2080.00,4.32,4.29,-4.03,-0.13,0.16,0.80,0.96,0.83,1.60,-1.85,0.66,0.41,0.39,0.80,6.92,8.06,10.96,12.86,7.75,8.93,12.27,14.31,-14.28,-12.30,-9.24,-7.57,0.25,0.75,0.48,83.20
Bombay Dyeing,500020,BOMDYEING,Textiles - Manmade,211.25,354.90,314.74,3532.02,-3964.56,-77.64,132.60,478.20,855.07,861.05,177.11,-1320.42,-282.26,414.86,184.52,1681.32,2429.78,1442.86,1216.68,1738.32,2442.37,1253.37,1032.17,4857.98,4782.46,4126.22,3715.11,234.09,74.46,162.30,4363.03
Bombay Metrics,,BMETRICS,Trading,130.40,3.36,-0.20,-4.01,0.12,-0.53,1.13,1.18,-1.31,4.55,-5.86,2.26,0.95,0.22,1.18,-5.72,-5.32,-5.38,,4.16,4.72,4.39,,,-10.20,-10.47,-10.31,0.44,0.08,,80.29
Bombay Oxygen,509470,,Finance & Investments,35376.60,-1.78,-1.78,2.04,-0.23,0.03,0.05,0.17,-1.42,-5.41,5.40,-0.30,-0.30,0.35,0.14,-5.86,-8.78,-5.89,-12.04,-9.87,-13.77,-21.27,-29.83,31.24,22.26,14.70,10.62,2.25,2.41,0.99,530.65
Bombay Super Hyb,,BSHSL,Miscellaneous,192.30,11.54,11.41,-2.06,-9.38,0.10,0.08,0.18,-10.87,-8.05,-2.57,10.43,-0.18,0.26,0.08,-11.76,-21.32,-37.16,,-8.61,-16.23,-23.33,,,-11.86,-6.78,-4.83,5.19,0.07,0.04,2017.93
Bombay Talkies,511246,,Finance & Investments,8.08,-0.02,-0.02,0.00,0.00,-0.02,0.04,0.03,0.02,0.02,0.00,0.00,0.02,0.02,0.04,-0.09,-0.06,0.54,,-0.07,-0.04,0.56,,,-0.55,0.02,0.07,0.02,0.04,0.01,43.63
Bombay Wire,504648,,Steel - Medium / Small,74.89,-0.66,-0.03,0.66,0.00,0.00,0.10,0.10,-0.10,-0.33,0.26,0.00,-0.07,0.17,0.10,-0.10,0.42,2.92,2.02,-1.15,-0.63,1.87,0.97,-1.05,-1.93,0.62,1.12,0.13,0.10,0.15,39.99
Bondada Engineer,543971,,Engineering - Turnkey Services,2635.00,54.03,25.87,-62.09,10.62,2.56,1.26,12.07,-36.13,-32.39,-12.03,44.58,0.17,1.09,12.07,-1.15,-18.75,,,32.35,17.86,,,,,-79.18,-76.20,4.76,6.97,,5692.13
Bonlon Industrie,543211,,Trading,36.12,-11.48,-13.19,-2.59,14.18,0.11,0.09,1.70,-12.14,-8.74,-1.54,9.87,-0.41,0.50,0.28,-77.49,-61.41,-51.55,-52.95,-65.50,-50.09,-39.98,-41.11,-9.31,-10.31,-4.76,-3.69,4.70,3.02,2.07,51.23
Borosil,543212,BOROLTD,Glass & Glass Products,332.85,48.03,-125.92,-106.08,55.29,-2.76,8.15,6.88,-160.85,63.74,-176.91,99.27,-13.90,22.54,11.28,-294.77,-126.76,,,188.34,427.11,,,,,-489.58,-319.98,7.59,10.41,,3970.88
Borosil Renew.,502219,BORORENEW,Glass & Glass Products,510.90,68.75,-147.74,-215.27,167.97,21.45,126.33,165.58,-353.29,-6.37,-116.30,237.53,114.86,11.46,132.69,,,,,,,,,,,,,,14.15,10.74,6669.17
Borosil Scienti.,544184,BOROSCI,Glass & Glass Products,220.10,32.09,19.53,-19.91,-0.87,11.31,0.49,13.13,-85.41,-56.78,49.49,7.32,0.03,0.46,1.77,,,,,,,,,,,,,,,,1954.38
Bosch,500530,BOSCHLTD,Auto Ancillaries,34280.25,1252.80,926.70,282.80,-1451.60,84.00,379.20,2592.70,574.10,1213.60,261.80,-1239.40,236.00,143.20,2056.90,1364.60,2917.30,4175.30,6886.60,2737.00,4908.10,7230.00,11400.70,-1160.90,-229.00,-824.60,511.40,2450.50,1252.70,1717.60,101104.93
Bothra Metals,535279,,Aluminium and Aluminium Products,12.12,9.06,9.05,-0.01,-9.05,0.00,0.06,0.06,34.25,34.25,0.00,-34.23,0.03,0.03,0.06,43.21,43.28,43.60,35.49,43.22,43.29,43.58,35.59,1.18,0.06,0.00,-0.01,0.12,0.14,0.09,22.45
BPL,500074,BPL,Electronics - Components,134.00,7.50,0.71,-8.70,6.33,5.14,0.84,9.22,2.12,6.43,4.14,-10.21,0.37,0.47,1.55,2.19,0.18,7.70,-117.76,13.52,23.24,20.43,-180.59,190.85,-0.92,-12.13,-0.96,1.51,3.89,13.38,656.27
Brady & Morris,505690,,Engineering,1250.00,5.85,3.38,1.27,-7.12,0.00,0.02,1.80,3.52,5.07,-0.79,-4.27,0.01,0.01,1.77,7.30,21.74,25.98,11.51,11.66,26.37,25.75,16.18,-3.13,1.20,-3.88,0.11,2.04,0.92,0.96,281.27
Brahmaputra Inf.,535693,,Construction,101.65,-126.61,-125.82,19.20,112.95,5.54,11.66,17.21,26.67,27.67,2.19,-21.96,7.90,3.76,11.66,-87.44,-44.50,44.09,218.82,-106.44,-62.24,29.67,184.51,71.32,51.09,56.32,45.68,1.31,1.25,4.45,294.99
Brand Concepts,543442,BCONCEPTS,Trading,653.00,-7.45,-38.23,-30.29,37.62,-0.12,0.61,5.69,2.81,11.75,-8.96,-2.60,0.20,0.42,5.97,-27.75,-22.60,-29.17,-32.78,17.06,22.52,18.83,19.27,-49.90,-46.01,-43.21,-44.40,2.15,1.92,0.58,726.97
Brandbucket Med.,543439,,Miscellaneous,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85
Brawn Biotech,530207,,Trading,26.19,-0.03,-0.04,-0.01,0.00,-0.04,0.44,0.40,0.22,0.32,-0.10,-0.01,0.21,0.22,0.44,0.07,0.00,-1.33,0.09,0.48,0.43,-0.90,0.75,-0.06,-0.43,-0.43,-0.41,0.40,0.54,2.00,7.86
Bridge Securitie,530249,,Miscellaneous,30.06,0.20,0.20,0.00,0.00,0.21,0.06,0.26,0.15,-0.14,0.32,-0.14,0.03,0.03,0.06,0.17,0.11,0.29,0.05,0.82,0.76,0.94,0.70,-0.55,-0.55,-0.42,-0.42,0.01,0.06,0.01,10.10
Brigade Enterpr.,532929,BRIGADE,Construction,1358.80,333.98,60.86,-384.63,245.79,195.14,375.09,1737.27,700.83,966.47,-270.60,-695.23,0.64,374.45,1478.08,1585.35,1653.40,654.88,-78.77,2332.53,3600.30,4116.24,4878.72,-6294.05,-4627.82,-3091.64,-1626.67,559.42,222.22,136.33,31406.73
Bright Brothers,526731,,Plastics Products,150.85,9.17,-3.43,0.48,-1.70,7.94,2.82,11.06,-18.92,0.05,3.26,-3.44,-0.13,2.95,3.04,,,,,,,,,,,,,,,,85.68
Bright Outdoor,543831,,Miscellaneous,425.10,-18.06,-30.82,7.73,11.07,0.74,30.73,52.16,-12.38,-12.35,-18.56,61.52,30.61,0.12,52.16,-36.65,-29.97,,,-23.83,-16.83,,,,,-7.80,-10.60,2.05,,,618.47
Bright Solar,,BRIGHT,Pumps,8.35,-5.20,-3.89,2.01,4.49,1.31,0.25,2.27,-7.62,-7.63,7.53,-0.15,-0.24,0.49,2.27,-10.66,-12.38,-18.73,-19.15,-11.81,-9.61,-15.27,-15.68,-7.89,-7.31,7.00,8.31,2.98,2.74,2.82,20.87
Brightcom Group,532368,BCG,Computers - Software - Medium / Small,8.98,702.55,436.76,-265.79,229.98,666.74,744.99,1411.73,81.61,287.34,-216.91,548.04,618.47,126.52,744.99,652.01,683.97,757.67,962.41,1449.85,2048.73,2514.96,3243.77,-2589.99,-1965.25,-1572.67,-913.50,119.00,89.41,59.52,1812.09
