Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Diligent Media,540789,DNAMEDIA,Entertainment / Electronic Media Software,4.90,0.41,4.20,1.51,106.63,4.32,0.03,4.29,0.00,108.11,32.12,3.24,103.82,75.99,35.95,77.14,11.77,6.46,57.67
Dilip Buildcon,540047,DBL,Construction,522.35,357.03,2841.05,170.49,47.98,180.82,97.49,83.33,128.23,-7.25,62.30,-2.39,37.65,-69.55,6.00,-0.08,146.22,-5.00,7637.55
Dindigul Farm,544201,,Food - Processing - Indian,118.35,,,,,,,,,,,,,,,,,,289.14
Dipna Pharmachem,543594,,Trading,8.10,1.67,74.18,1.67,,,,,,,,,,0.59,,,,0.24,19.47
Disa India,500068,,Engineering,15460.25,4.88,76.27,12.04,3.19,15.23,1.19,14.04,0.13,13.91,3.58,10.33,0.00,10.33,15.79,13.54,1.45,71.04,2248.24
Dish TV India,532839,DISHTV,Entertainment / Electronic Media Software,15.74,180.40,504.82,15.04,-1899.15,23.50,200.21,-176.71,57.02,-2141.34,-420.72,186.99,-1907.61,-1720.62,2.98,37.04,184.13,-9.34,2898.21
Disha Resources,531553,,Trading,17.99,-0.06,1.44,-0.06,0.28,0.22,0.00,0.22,0.00,0.22,0.02,0.20,0.00,0.20,-4.17,13.89,7.32,0.27,13.17
Dishman Carbogen,540701,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,176.60,41.11,618.56,51.44,-38.87,58.19,75.74,-17.55,24.43,-87.60,-16.88,-25.10,-45.62,-70.72,8.32,-4.06,31.36,-4.51,2768.81
Divgi Torq,543812,DIVGIITTS,Auto Ancillaries,671.70,12.90,73.34,19.28,2.62,21.90,3.67,18.23,0.12,18.11,4.66,13.45,0.00,13.45,26.29,18.34,13.77,4.40,2054.27
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4552.95,489.00,1951.00,487.00,66.00,553.00,87.00,466.00,0.00,466.00,145.00,321.00,0.00,321.00,24.96,16.45,53.09,12.09,120866.52
Divine Power,,,Mining / Minerals / Metals,,,,,,,,,,,,,,,,,,,85.87
Divyashakti,526315,,Miscellaneous,78.70,0.85,14.17,-1.40,0.06,-1.34,0.64,-1.98,0.02,-2.00,-0.46,-1.54,0.00,-1.54,-9.88,-10.87,10.27,-1.50,80.81
Dixon Technolog.,540699,DIXON,Electronics - Consumer,12355.15,184.39,3065.45,156.29,3.40,159.69,32.46,127.23,15.14,112.09,31.47,80.62,0.00,80.62,5.10,2.63,11.87,13.54,73927.17
DJ Mediaprint,543193,DJML,Miscellaneous,319.20,3.93,23.61,4.12,0.04,4.16,1.24,2.92,0.39,2.53,0.90,1.63,0.00,1.63,17.45,6.90,10.83,1.51,345.62
DLF,532868,DLF,Construction,823.15,510.97,1456.06,398.35,119.64,517.99,36.04,481.95,84.56,397.39,112.54,569.60,0.00,569.60,27.36,39.12,495.06,2.30,203755.29
DMCC Speciality,506405,DMCC,Chemicals,319.00,7.12,96.50,16.29,0.77,17.06,4.54,12.52,3.29,9.23,2.55,6.68,0.00,6.68,16.88,6.92,24.94,2.68,795.59
DMR Hydroengg.,543410,,Miscellaneous,165.00,0.85,2.11,0.41,,,,,,,,,,0.28,,,,0.75,62.60
Docmode Health,,DHTL,Miscellaneous,131.00,2.72,20.02,1.44,,,,,,,,,,0.61,,,,2.66,41.17
Dodla Dairy,543306,DODLA,Food - Processing - Indian,1023.00,82.84,724.28,33.72,6.31,40.03,14.72,25.31,0.32,24.99,2.46,22.53,0.00,22.53,4.66,3.11,59.49,3.79,6086.10
Dolat Algotech,505526,DOLATALGO,Finance & Investments,137.35,36.07,8.21,-6.33,19.21,12.88,0.20,12.68,6.38,6.30,-0.54,6.85,0.00,6.85,-77.10,83.43,17.60,0.39,2417.36
Dolfin Rubbers,542013,,Tyres,207.50,1.84,31.39,1.90,0.05,1.95,0.33,1.62,0.32,1.30,0.30,0.99,0.00,0.99,6.05,3.15,,0.99,208.12
Dollar Industrie,541403,DOLLAR,Textiles - Products,539.10,32.21,406.35,11.61,1.22,12.83,4.26,8.57,3.40,5.17,1.49,3.68,0.00,3.68,2.86,0.91,11.34,0.65,3057.59
Dollex Agrotech,,DOLLEX,Sugar,38.00,7.20,100.63,10.93,,,,,,,,,,6.62,,,,2.65,94.88
Dolphin Medical,526504,,Healthcare,1.92,0.00,0.08,-0.08,0.01,-0.07,0.02,-0.09,0.00,-0.09,0.01,-0.10,0.00,-0.10,-100.00,-125.00,15.10,-0.07,2.90
Dolphin Offshore,522261,DOLPHIN,Oil Drilling / Allied Services,671.90,0.72,0.00,-0.12,44.82,-0.12,1.94,-2.06,0.42,42.34,0.00,-2.48,44.82,42.34,,,16.77,13.40,2687.91
Doms Industries,544045,DOMS,Printing & Stationery,2085.55,69.35,336.48,61.93,1.17,63.10,10.52,52.58,3.44,49.14,12.92,33.98,0.00,36.21,18.41,10.76,,912.21,12656.61
Donear Inds.,512519,DONEAR,Textiles - Processing,137.75,18.59,213.96,20.15,1.69,21.84,2.42,19.42,7.65,11.77,3.24,8.53,0.00,8.53,9.42,3.99,10.40,1.64,716.30
Dr Agarwal's Eye,526783,,Healthcare,3250.00,20.77,69.42,21.13,0.40,21.53,1.54,19.99,1.81,18.18,4.50,13.68,0.00,13.68,30.44,19.71,4.70,29.11,1527.50
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2825.40,140.60,491.00,115.60,14.20,129.80,37.60,92.20,9.00,83.20,26.30,56.70,0.00,56.90,23.54,11.59,83.30,6.80,23586.52
Dr Lalchand. Lab,541299,,Healthcare,23.50,0.35,2.76,0.26,,,,,,,,,,-0.59,,,,-1.36,10.18
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,6416.35,2023.10,6315.20,1533.90,146.10,1680.00,315.50,1364.50,35.40,1329.10,369.00,960.10,0.00,960.10,24.29,15.20,83.20,57.65,107043.78
DRA Consultants,540144,,Miscellaneous,56.00,1.24,8.01,1.18,,,,,,,,,,0.98,,,,0.89,61.43
DRC Systems,543268,DRCSYSTEMS,Computers - Software - Medium / Small,28.31,5.71,6.77,-2.16,4.00,1.84,0.42,1.42,0.01,1.41,0.22,1.19,0.00,1.19,-31.91,17.58,3.87,0.09,375.03
Dreamfolks Servi,543591,DREAMFOLKS,Miscellaneous,484.10,27.37,237.75,33.71,1.38,35.09,0.92,34.17,0.17,34.00,8.70,25.30,0.00,25.30,14.18,10.64,10.45,4.84,2529.43
Dredging Corpn.,523618,DREDGECORP,Miscellaneous,1096.95,68.78,337.44,-167.28,0.54,-166.74,48.86,-215.60,6.97,-222.57,0.37,-222.94,0.00,-222.94,-49.57,-66.07,28.00,-79.62,3071.46
Drone Destinatio,,DRONE,Miscellaneous,372.15,1.90,9.02,3.99,,,,,,,,,,2.51,,,,,904.33
Droneacharya Aer,543713,,Miscellaneous,147.30,,,,,,,,,,,,,,,,,,353.35
DRS Dilip Road,,DRSDILIP,Miscellaneous,135.00,4.34,81.96,2.57,,,,,,,,,,1.71,,,,1.13,203.34
DSJ Keep Learn,526677,KEEPLEARN,Miscellaneous,2.90,0.19,1.56,0.15,0.00,0.15,0.05,0.10,0.06,0.04,0.00,0.03,0.00,0.03,9.62,1.92,,0.00,45.16
DU Digital,,DUGLOBAL,Miscellaneous,75.00,1.08,15.11,0.25,,,,,,,,,,-0.34,,,,-0.04,523.06
Ducol Organics,,DUCOL,Dyes And Pigments,140.05,2.87,46.31,5.97,,,,,,,,,,2.33,,,,1.60,203.63
Ducon Tech,534674,DUCON,Engineering - Turnkey Services,8.45,6.65,103.60,2.03,0.00,2.03,0.59,1.44,1.29,0.15,-0.01,0.17,0.00,0.17,1.96,0.16,20.57,0.01,219.65
Dugar Housing,511634,,Construction,12.26,-0.05,0.00,-0.05,0.15,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,,,,3.33,0.37
Duke Offshore,531471,,Oil Drilling / Allied Services,19.68,0.35,0.68,-0.64,0.06,-0.58,0.25,-0.83,0.01,-0.84,0.00,-0.83,0.00,-0.83,-94.12,-122.06,,-0.84,19.39
Duncan Engg.,504908,,Engineering,552.00,1.61,18.47,2.95,0.37,3.32,0.40,2.92,0.08,2.84,0.66,2.18,0.00,2.18,15.97,11.80,3.70,5.90,204.24
Durlax Top,,DURLAX,Miscellaneous,88.85,,,,,,,,,,,,,,,,,,147.74
Duropack,526355,,Packaging,75.30,0.93,7.70,0.40,0.25,0.65,0.13,0.52,0.00,0.52,0.27,0.25,0.00,0.25,5.19,3.25,5.27,0.47,39.68
Duroply Indust.,516003,,Miscellaneous,296.50,3.25,84.22,4.94,1.26,6.20,0.85,5.35,1.88,3.47,1.21,2.26,0.00,2.26,5.87,2.68,6.46,2.91,292.44
Dutron Polymers,517437,,Plastics Products,176.90,1.13,28.02,1.55,-0.08,1.47,0.31,1.16,0.28,0.88,0.18,0.71,0.00,0.71,5.53,2.53,6.00,1.18,106.14
Dwarikesh Sugar,532610,DWARKESH,Sugar,74.23,25.98,532.55,86.43,1.89,88.32,12.81,75.51,5.92,69.59,22.90,46.69,0.00,46.69,16.23,8.77,18.83,2.48,1375.51
Dynacons Sys.,532365,DSSL,Computers - Software - Medium / Small,1155.00,18.92,226.33,18.38,0.85,19.23,0.35,18.88,2.63,16.25,4.07,12.17,0.00,12.17,8.12,5.38,11.28,9.59,1468.34
Dynamatic Tech.,505242,DYNAMATECH,Engineering,7350.00,40.69,367.88,49.46,7.16,56.62,16.54,40.08,15.12,24.96,7.40,17.56,0.00,17.56,13.44,4.77,6.34,27.69,4991.70
Dynamic Cables,540795,DYCL,Cables - Power,587.80,18.02,178.46,18.98,1.15,20.13,2.14,17.99,4.93,13.06,3.08,9.98,0.00,9.98,10.64,5.59,22.01,4.53,1293.97
Dynamic Industri,524818,,Dyes And Pigments,70.21,0.18,7.99,0.18,-0.10,0.08,0.22,-0.14,0.03,-0.17,0.04,-0.21,0.00,-0.21,2.25,-2.63,3.03,-0.69,21.28
Dynamic Portfol,530779,,Finance & Investments,42.12,-0.04,0.52,-0.66,0.00,-0.66,0.00,-0.66,0.20,-0.86,0.00,-0.85,0.00,-0.85,-126.92,-163.46,,-0.73,49.24
Dynamic Services,,DYNAMIC,Miscellaneous,222.30,7.06,42.94,3.45,,,,,,,,,,8.75,,,,6.47,305.57
Dynavision,517238,,Miscellaneous,346.00,2.03,1.93,1.35,0.14,1.49,0.02,1.47,0.10,1.37,0.39,0.97,0.00,0.97,69.95,50.26,,2.53,132.86
Dynemic Products,532707,DYNPRO,Dyes And Pigments,295.00,7.89,72.43,10.60,0.24,10.84,4.14,6.70,3.59,3.11,-0.84,3.94,0.00,3.94,14.63,5.44,11.33,3.37,354.83
E Factor Experie,,EFACTOR,Miscellaneous,228.00,1.88,100.28,11.94,,,,,,,,,,8.05,,,,8.36,298.41
E-Land Apparel,532820,,Textiles - Processing,9.00,-0.22,57.60,2.37,1.00,3.37,1.15,2.22,12.69,-10.47,0.00,-10.46,0.00,-10.46,4.11,-18.16,47.99,-2.18,43.19
E2E Networks,,E2E,Computers - Software - Medium / Small,1642.05,11.24,17.59,9.02,0.39,9.41,6.00,3.41,0.15,3.26,0.72,2.53,0.00,2.53,51.28,14.38,14.48,1.75,2378.81
Earthstahl &All.,543765,,Steel - Medium / Small,43.03,2.48,43.65,3.32,,,,,,,,,,1.75,,,,1.43,52.67
East Buildtech,507917,,Construction,31.50,0.07,0.26,0.19,0.00,0.19,0.00,0.19,0.02,0.17,0.04,0.13,0.00,0.13,73.08,50.00,1.91,0.69,5.91
East West Holdin,540006,,Miscellaneous,9.19,2.33,50.53,1.99,0.92,2.91,0.60,2.31,2.36,-0.05,-0.04,-0.02,0.00,-0.02,3.94,-0.04,24.10,0.00,117.23
Eastcoast Steel,520081,,Trading,25.00,-0.19,2.57,-0.15,0.27,0.12,0.00,0.12,0.00,0.12,0.08,0.04,0.00,0.04,-5.84,1.56,5.40,0.07,13.50
Eastern Treads,531346,,Miscellaneous,39.90,0.63,14.36,-0.65,0.02,-0.63,0.42,-1.05,0.84,-1.89,-0.28,-1.61,0.00,-1.61,-4.53,-11.21,5.41,-3.08,20.88
Easun Capital Ma,542906,,Finance & Investments,46.22,0.25,0.36,0.07,0.01,0.08,0.00,0.08,0.00,0.08,0.02,0.06,0.00,0.06,19.44,16.67,5.23,0.11,24.17
Easy Trip Plann.,543272,EASEMYTRIP,Travel Agencies,41.55,60.86,116.60,42.43,4.20,46.63,0.94,45.69,1.27,44.42,13.37,31.05,0.00,31.05,36.39,26.63,43.46,0.18,7362.81
eClerx Services,532927,ECLERX,Computers - Software - Medium / Small,2417.55,207.23,693.10,206.91,5.09,212.00,31.86,180.14,5.65,174.49,42.14,132.36,0.00,132.36,29.85,19.10,33.10,27.04,11852.13
Eco Hotels,514402,,Hotels,48.10,-2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,150.75
Eco Recyc.,530643,,Miscellaneous,604.90,5.24,4.95,-2.99,-0.18,-3.17,0.20,-3.37,0.03,-3.40,0.42,-3.82,0.00,-3.82,-60.40,-77.17,19.30,-1.98,1167.26
Ecoboard Inds.,523732,,Miscellaneous,32.50,0.18,5.81,-4.50,1.90,-4.40,0.26,-4.66,0.81,-3.67,0.00,-5.47,1.80,-3.67,-77.45,-94.15,17.83,-2.06,57.95
Ecofinity Ato,539455,,Trading,40.93,0.00,0.10,-0.23,0.07,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,0.00,-0.16,-230.00,-160.00,3.85,-0.42,15.76
Econo Trade Indi,538708,,Finance & Investments,8.44,1.58,1.10,0.98,0.02,1.00,0.00,1.00,0.43,0.57,0.17,0.40,0.00,0.40,89.09,36.36,18.67,0.21,15.74
Ecoplast,526703,,Packaging,389.00,2.79,26.85,3.14,2.42,5.56,0.56,5.00,0.11,4.89,1.58,3.31,0.00,3.31,11.69,12.33,3.00,11.03,116.71
ECS Biztech,540063,,Computers - Software - Medium / Small,12.56,0.05,0.30,-0.01,0.04,0.03,0.06,-0.03,0.00,-0.03,-0.19,0.16,0.00,0.16,-3.33,53.33,20.56,0.08,25.82
Edelweiss.Fin.,532922,EDELWEISS,Finance & Investments,66.19,831.81,3012.39,803.35,51.48,854.83,50.23,804.60,656.11,148.49,-23.62,149.31,0.00,172.11,26.67,5.71,89.82,1.58,6247.50
Educomp Sol.,532696,EDUCOMP,Computers - Education,2.55,-12.49,1.00,-16.99,0.16,-16.83,0.08,-16.91,1.27,-18.18,0.00,-18.19,0.00,-18.19,-1699.00,-1819.00,,-1.49,31.23
Edvenswa Enter,517170,,Computers - Software - Medium / Small,58.70,3.01,16.96,1.66,0.28,1.94,0.08,1.86,0.05,1.81,0.13,1.68,0.00,1.68,9.79,9.91,8.65,0.93,111.12
eDynamics Solut.,535694,,Trading,2.94,-0.01,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,7.52
EFC (I),512008,,Miscellaneous,565.00,61.06,60.32,35.14,0.43,35.57,15.56,20.01,6.46,13.55,4.40,8.84,0.00,9.16,58.26,15.19,0.70,2.59,2812.38
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,4673.10,1090.27,3804.32,933.65,378.89,1312.54,148.03,1164.51,8.16,1156.35,250.77,905.58,0.00,905.58,24.54,23.80,27.34,33.11,128047.86
EID Parry,500125,EIDPARRY,Sugar,769.80,411.71,6860.31,615.40,4.97,620.37,105.07,515.30,87.14,428.16,141.26,178.95,0.00,286.90,8.97,4.18,17.74,10.08,13665.30
Eighty Jewellers,543518,,Trading,46.50,1.28,50.41,1.46,,,,,,,,,,0.67,,,,0.66,47.43
EIH,500840,EIHOTEL,Hotels,422.80,324.39,637.06,204.20,-15.86,239.73,31.71,208.02,12.07,144.56,52.40,114.36,-51.39,92.16,32.05,19.61,125.07,1.35,26440.42
EIH Assoc.Hotels,523127,EIHAHOTELS,Hotels,924.70,52.28,107.83,32.14,2.68,34.82,4.04,30.78,0.08,30.70,4.52,26.17,0.00,26.17,29.81,24.27,30.47,8.59,2817.58
Eiko Lifescience,540204,,Chemicals,50.50,0.47,6.59,0.36,0.21,0.57,0.16,0.41,0.03,0.38,0.10,0.28,0.00,0.28,5.46,4.25,8.32,0.20,62.71
Eimco Elecon(I),523708,EIMCOELECO,Engineering,2502.65,7.88,64.24,13.47,2.37,15.84,2.09,13.75,0.13,13.62,3.86,9.77,0.00,9.77,20.97,15.21,5.77,16.94,1444.04
Ekam Leasing,530581,,Finance & Investments,5.81,0.10,0.15,0.02,0.01,0.03,0.00,0.03,0.04,-0.01,0.05,-0.05,0.00,-0.05,13.33,-33.33,3.00,-0.08,3.49
Ekansh Concept,531364,,Miscellaneous,53.79,-7.87,40.46,8.46,1.41,9.87,0.03,9.84,3.27,6.57,1.92,4.67,0.00,4.67,20.91,11.54,15.13,3.09,81.39
Ekennis Software,543475,,Computers - Software - Medium / Small,108.50,0.44,2.43,0.06,,,,,,,,,,0.01,,,,0.07,15.19
EKI Energy,543284,,Miscellaneous,330.05,-21.34,91.29,-56.41,3.78,-52.63,0.81,-53.44,0.75,-54.19,-15.89,-38.30,0.00,-38.30,-61.79,-41.95,6.87,-13.92,908.52
EL Forge,531144,,Castings & Forgings,19.73,1.00,18.24,2.11,-0.72,2.12,1.27,0.85,0.09,0.03,0.00,0.76,-0.73,0.03,11.57,4.17,20.32,0.01,40.09
Elango Industrie,513452,,Miscellaneous,12.36,-0.02,0.00,-0.04,0.02,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.03,0.00,-0.03,,,3.82,-0.08,4.72
Elantas Beck,500123,,Chemicals,11638.80,35.57,169.44,35.61,7.79,43.40,2.86,40.54,0.12,40.42,10.37,30.05,0.00,30.05,21.02,17.73,,37.91,9229.57
Elcid Investment,503681,,Finance & Investments,3.53,58.59,3.08,1.14,0.00,1.14,0.21,0.93,0.00,0.93,1.31,-0.37,0.00,-0.37,37.01,-12.01,0.20,-18.50,0.07
Eldeco Housing,523329,ELDEHSG,Construction,1036.10,9.27,38.70,18.10,3.29,21.39,0.17,21.22,0.52,20.70,5.79,14.90,0.00,14.90,46.77,38.50,1.97,15.15,1018.80
Elecon Engg.Co,505700,ELECON,Engineering,1330.00,120.39,424.54,92.85,9.44,102.29,13.60,88.69,4.60,84.09,16.15,67.94,0.00,67.94,21.87,16.00,22.44,6.06,14922.62
Electro Force,,EFORCE,Electric Equipment,78.70,9.79,17.94,6.66,,,,,,,,,,4.47,,,,2.57,184.16
Electronics Mart,543626,EMIL,Trading,230.40,115.31,1327.81,90.92,5.46,96.38,23.12,73.26,27.12,46.14,10.02,36.12,0.00,36.12,6.85,2.72,300.00,0.94,8864.62
Electrost.Cast.,500128,ELECTCAST,Castings & Forgings,177.55,406.42,1872.37,192.70,36.29,228.99,30.68,198.31,77.24,121.07,31.58,89.43,0.00,89.49,10.29,4.78,59.46,1.50,10557.25
Electrotherm(I),526608,ELECTHERM,Steel - Medium / Small,794.80,125.96,1033.16,107.11,-34.47,109.10,12.08,97.02,18.99,41.57,0.00,78.03,-36.46,41.57,10.37,7.55,12.74,32.62,1012.80
Elegant Floricul,526473,,Miscellaneous,6.18,0.03,0.76,-0.08,0.75,0.67,0.43,0.24,0.05,0.19,0.06,0.14,0.00,0.14,-10.53,18.42,19.97,0.07,12.36
Elegant Marbles,526705,,Miscellaneous,256.80,1.15,10.60,1.82,-0.10,2.41,0.08,2.33,0.00,1.64,0.53,1.57,-0.69,1.11,17.17,14.81,3.66,3.03,93.99
Elgi Equipments,522074,ELGIEQUIP,Compressors / Drilling Equipment,732.25,129.40,835.74,127.24,128.27,255.51,19.50,236.01,5.40,230.61,60.51,170.10,0.00,170.10,15.22,20.35,31.69,5.37,23205.71
Elgi Rubber Co,,ELGIRUBCO,Miscellaneous,73.95,4.52,96.38,3.35,-5.95,0.60,3.88,-3.28,10.59,-17.07,-0.97,-12.92,-3.20,-16.09,3.48,-13.41,5.01,-3.21,370.49
Elin Electronics,543725,ELIN,Electronics - Components,212.25,8.49,268.72,8.84,1.84,10.68,5.86,4.82,2.55,2.27,0.67,1.60,0.00,1.60,3.29,0.60,20.42,0.32,1053.98
Elixir Capital,531278,,Finance & Investments,106.95,4.29,-0.60,-2.11,0.24,-1.87,0.10,-1.97,0.30,-2.27,0.38,-1.96,0.00,-2.65,,,5.80,-3.38,62.03
Elnet Technolog,517477,,Construction,341.00,4.70,6.46,3.46,1.67,5.13,0.50,4.63,0.06,4.57,1.78,2.79,0.00,2.79,53.56,43.19,4.00,6.97,136.40
Elpro Internatio,504000,,Construction,100.30,38.78,43.32,10.08,1.80,11.88,1.24,10.64,2.06,8.58,8.91,-0.32,0.00,-0.32,23.27,-0.74,16.95,-0.02,1699.84
EMA India,522027,,Engineering,43.42,-0.10,0.00,-0.12,0.00,-0.12,0.02,-0.14,0.00,-0.14,0.00,-0.13,0.00,-0.13,,,1.01,-1.29,4.39
Emami,531162,EMAMILTD,Personal Care - Indian,757.35,313.84,835.95,199.46,13.75,213.21,63.97,149.24,1.37,147.87,6.25,141.62,0.00,141.62,23.86,16.94,44.12,3.27,33058.36
Emami Paper,533208,EMAMIPAP,Paper,117.65,80.98,552.30,18.94,0.99,19.93,17.29,2.64,18.14,-15.50,-4.23,-11.27,0.00,-11.27,3.43,-2.04,12.10,-1.86,711.77
Emami Realty Ltd,533218,EMAMIREAL,Construction,103.65,-12.81,26.30,-34.27,19.31,-14.96,0.37,-15.33,8.72,-24.05,-6.26,-15.30,0.00,-15.30,-130.30,-58.17,7.57,-4.04,392.25
Embassy Off.REIT,542602,EMBASSY,Construction,355.56,737.63,895.32,648.68,29.10,677.78,347.02,330.76,253.65,77.11,41.67,35.45,0.00,35.45,72.45,3.96,,0.37,33703.31
Emerald Finance,538882,,Finance & Investments,31.20,2.03,3.87,2.04,-0.07,2.06,0.03,2.03,0.23,1.71,0.45,1.32,-0.09,1.25,52.71,34.11,29.04,0.41,94.04
Emerald Leisures,507265,,Hotels,232.40,2.05,4.34,1.56,0.04,1.60,0.93,0.67,5.46,-4.79,0.17,-4.96,0.00,-4.96,35.94,-114.29,2.50,-9.91,116.34
Emergent Indust.,506180,,Trading,99.22,2.03,80.04,-0.98,1.65,0.67,0.02,0.65,0.01,0.64,0.16,0.47,0.00,0.47,-1.22,0.59,4.57,1.03,45.34
Emk.Global Fin.,532737,EMKAY,Finance & Investments,164.00,10.50,42.15,-11.84,8.30,-3.50,2.44,-5.94,1.34,-7.32,-2.01,-5.33,-0.04,-5.37,-28.09,-12.65,24.64,-2.18,405.29
Emkay Taps & Cut,,EMKAYTOOLS,Engineering,995.00,24.02,44.07,19.92,,,,,,,,,,24.86,,,,23.30,1061.79
Emmbi Industries,533161,EMMBI,Packaging,112.20,9.50,100.19,9.06,0.06,9.12,2.45,6.67,4.14,2.53,0.80,1.72,0.00,1.72,9.04,1.72,17.69,0.97,198.49
Emmessar Biotech,524768,,Chemicals,39.10,-0.21,0.32,-0.16,0.42,0.26,0.02,0.24,0.00,0.24,0.05,0.20,0.00,0.20,-50.00,62.50,5.00,0.40,19.55
Emmforce,544166,,Auto Ancillaries,175.00,,,,,,,,,,,,,,,,,,358.74
Empire Inds.,509525,,Diversified - Medium / Small,1012.85,6.96,177.62,26.89,4.47,31.36,4.47,26.89,10.89,16.00,2.43,13.57,0.00,13.57,15.14,7.64,6.00,22.62,607.71
Empower India,504351,,Trading,2.65,3.36,1.98,0.03,0.02,0.05,0.00,0.05,0.01,0.04,0.04,-0.01,0.00,-0.01,1.52,-0.51,116.38,0.00,308.41
EMS,543983,EMSLIMITED,Construction,669.10,46.84,190.24,47.71,2.02,49.73,1.01,48.72,1.20,47.52,11.71,35.46,0.00,35.82,25.08,18.83,,,3715.58
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small,870.00,24.62,76.81,23.77,2.17,25.94,3.94,22.00,1.60,20.40,4.59,15.80,0.00,15.80,30.95,20.57,35.09,2.03,7204.64
Enbee Trade,512441,,Finance & Investments,11.56,-0.44,2.16,0.79,0.19,0.98,0.06,0.92,0.58,0.34,0.05,0.29,0.00,0.29,36.57,13.43,1.60,0.09,16.55
Encode Packaging,530733,,Packaging,14.92,0.19,0.65,-0.03,0.00,-0.03,0.07,-0.10,0.00,-0.10,0.00,-0.10,0.00,-0.10,-4.62,-15.38,3.15,-0.32,4.70
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,2704.15,299.00,2234.34,285.39,20.82,306.21,121.56,184.65,7.98,176.67,40.21,136.47,0.00,136.47,12.77,6.11,140.66,9.70,38037.35
Energy Devl.Co.,532219,ENERGYDEV,Power Generation And Supply,24.00,6.37,3.55,-0.75,1.21,0.46,2.56,-2.10,1.45,-3.55,1.71,-5.27,0.00,-5.27,-21.13,-148.45,47.50,-1.35,114.02
Energy-Mission,,EMMIL,Engineering,375.00,8.77,56.11,9.64,,,,,,,,,,6.05,,,,2176.26,424.76
Enfuse,,ENFUSE,Computers - Software - Medium / Small,132.90,2.76,,,,,,,,,,,,,,,,,117.57
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services,249.25,50.07,880.10,166.88,44.92,211.80,7.09,204.71,0.43,204.28,47.40,190.18,0.00,190.18,18.96,21.61,281.02,3.38,14008.90
Enkei Wheels,533477,,Auto Ancillaries,649.20,15.59,132.43,2.82,2.01,4.83,9.30,-4.47,2.08,-6.55,-2.15,-4.40,0.00,-4.40,2.13,-3.32,,-2.45,1166.92
Enser,,ENSER,Computers - Software - Medium / Small,170.00,3.42,14.62,1.70,,,,,,,,,,0.93,,,,,148.17
Ent.Network,532700,ENIL,Entertainment / Electronic Media Software,245.75,45.80,125.51,11.35,7.08,18.43,21.41,-2.98,4.03,-7.01,0.30,-7.30,0.00,-7.30,9.04,-5.82,47.67,-1.54,1171.50
Entero Healthcar,544122,ENTERO,Trading,1055.95,28.60,887.21,20.39,0.58,20.97,7.17,13.80,12.82,0.98,4.80,-3.72,0.00,-3.82,2.30,-0.43,,-9.05,4592.74
Enterprise Intl.,526574,,Trading,28.01,-0.07,1.34,-0.04,0.16,0.12,0.02,0.10,0.03,0.07,-0.06,0.13,0.00,0.13,-2.99,9.70,,0.44,8.36
Envair Electrody,500246,,Engineering,193.95,-0.58,0.00,-0.18,-2.22,-10.78,0.00,-10.78,0.00,-2.40,-0.53,-10.25,8.38,-1.87,,,4.64,-4.03,89.98
EP Biocomposites,543595,,Miscellaneous,159.00,0.26,3.68,0.42,,,,,,,,,,0.30,,,,1.78,26.74
Epack Durable,544095,EPACK,Air-conditioners,250.25,23.39,639.08,61.16,1.10,63.81,7.06,56.75,9.27,45.93,12.58,34.48,-1.55,33.35,9.57,5.40,,6.40,2397.35
Epic Energy,530407,,Electric Equipment,15.75,0.04,0.29,-0.27,-0.02,-0.29,0.05,-0.34,0.00,-0.34,-0.01,-0.33,0.00,-0.33,-93.10,-113.79,,-0.46,11.36
Epigral,543332,EPIGRAL,Chlor Alkali / Soda Ash,1426.00,122.77,562.18,154.71,4.54,159.25,30.13,129.12,18.99,110.13,33.33,76.80,0.00,76.80,27.52,13.66,41.55,18.48,5925.01
